mjd,mag,magerr,filter,wavelength
56063.24098,18.16,0.12,C,6178.184964660442
56063.2478,18.4,0.13,C,6178.184964660442
56063.25452,18.19,0.12,C,6178.184964660442
56092.2724672504,17.71648579957705,0.0589515953132624,z,8961.488333992429
56092.2851422232,17.725216533922445,0.023182631040078887,z,8961.488333992429
56096.18777,18.24,0.11,C,6178.184964660442
56096.19522,18.2,0.11,C,6178.184964660442
56096.20257,18.21,0.11,C,6178.184964660442
56096.21009,18.2,0.11,C,6178.184964660442
56297.38198,18.12,0.12,C,6178.184964660442
56297.38994,18.1,0.12,C,6178.184964660442
56297.39789,18.32,0.13,C,6178.184964660442
56297.40589,18.22,0.12,C,6178.184964660442
56310.37902,18.0,0.12,C,6178.184964660442
56310.38521,18.19,0.13,C,6178.184964660442
56310.3914,18.13,0.12,C,6178.184964660442
56310.39768,17.78,0.11,C,6178.184964660442
56323.5991145122,17.72717223851734,0.014968523271696984,i,7499.704174464691
56323.6117120129,17.6991996550254,0.013803671405866134,i,7499.704174464691
56326.6023492693,17.730782095603825,0.040420004182490685,i,7499.704174464691
56326.6142473457,17.707040877410194,0.011232079850671083,i,7499.704174464691
